stopId,code,stop_name,type,zone,ward,address,street,support_disability,status,lng,lat,search,routes
33,BX 06,Công Trường Mê Linh,Bến xe,Quận 1,Phường Bến Nghé,Công trường Mê Linh,Thi Sách,,Đang khai thác,106.705856,10.77679,CTML CtML TS,01
79,Q1 031,Bến Bạch Đằng,Trụ dừng,Quận 1,,21,Tôn Đức Thắng,,Đang khai thác,106.706359,10.773299,BBD 21 TDT,"01, 03, 19, 45, 53, 56, 88, DL01"
76,Q1 020,Cục Hải Quan Thành Phố,Nhà chờ,Quận 1,Phường Bến Nghé,2-4,Hàm Nghi,,Đang khai thác,106.705549,10.770885,CHQTP 2-4 HN,"01, 03, 19, 45, 53, 56, 88"
3691,Q1 193,Chợ Cũ,Nhà chờ,Quận 1,Phường Bến Nghé,84,Hàm Nghi,,Đang khai thác,106.703108,10.771006,CC 84 HN,"01, 03, 19, 45, 53, 56, 88"
2028,Q1 194,Trường Cao Thắng,Nhà chờ,Quận 1,Phường Bến Nghé,Trường Cao Thắng,Hàm Nghi,,Đang khai thác,106.701853,10.771043,TCT TCT HN,"01, 03, 102, 19, 20, 34, 38, 39, 45, 56, 75, 88, D4"
4223,Q1 102,Trạm Trung chuyển trên đường Hàm Nghi,Nhà chờ,Quận 1,Phường Bến Thành,Hàm Nghi 4,Hàm Nghi,,Đang khai thác,106.699514,10.771043,TTctdHN HN4 HN,"01, 102, 44, 65"
120,Q1 124,Trường Ernst Thalmann,Nhà chờ,Quận 1,,8,Trần Hưng Đạo,,Đang khai thác,106.695923,10.768772,TET 8 THD,"01, 139, 28, 45, 69, 75"
121,Q1 125,KTX Trần Hưng Đạo,Nhà chờ,Quận 1,,10,Trần Hưng Đạo,,Đang khai thác,106.694695,10.767363,KTHD 10 THD,"01, 139, 152, 45, 56"
122,Q1 126,Rạp Hưng Đạo,Nhà chờ,Quận 1,,112,Trần Hưng Đạo,,Đang khai thác,106.693375,10.765832,RHD 112 THD,"01, 139, 152, 45, 56"
123,Q1 127,Bệnh viện Răng Hàm Mặt,Nhà chờ,Quận 1,,150,Trần Hưng Đạo,,Đang khai thác,106.691696,10.763918,BvRHM 150 THD,"01, 139, 152"
124,Q1 128,Trần Đình Xu,Trụ dừng,Quận 1,,210 - 212,Trần Hưng Đạo,,Đang khai thác,106.690247,10.762262,TDX 210-212 THD,"01, 139, 152"
